Timestamp,Date,Gender,Age,Race,Which state are you from?,Which university are you from?,How many hours do you spend on social media in a day? (0.5 hour=30 minutes) ,Which social media site do you use the most?,What is the rating of your most used app?,How many friends did you add in your Facebook today?,How many followers did you gain in your Instagram today?
2022/05/27 10:33:07 pm GMT+8,5/27/2022,Male,21,Chinese,Sarawak,Universiti Malaysia Pahang (UMP),3,Facebook,3.2,0,0
2022/05/27 11:00:03 pm GMT+8,5/27/2022,Female,21,Malay,Malacca,Universiti Teknologi MARA (UiTM),6,YouTube,4.2,3,71
2022/05/27 11:00:09 pm GMT+8,5/27/2022,Female,20,Malay,Pahang,Universiti Malaya (UM),4,TikTok,4.6,0,0
2022/05/27 11:06:22 pm GMT+8,5/27/2022,Female,21,Chinese,Perak,Universiti Utara Malaysia (UUM),6.5,Facebook,3.2,0,0
2022/05/27 9:46:09 pm GMT+8,5/27/2022,Male,21,Chinese,Penang,Universiti Utara Malaysia (UUM),2,YouTube,4.2,0,0
2022/05/27 9:46:18 pm GMT+8,5/27/2022,Male,23,Chinese,Penang,Universiti Malaysia Sarawak (UNIMAS),0.5,Facebook,3.2,0,0
2022/05/27 9:46:24 pm GMT+8,5/27/2022,Female,21,Indian,Perak,Universiti Malaysia Sarawak (UNIMAS),1,YouTube ,4.2,0,0
2022/05/27 9:47:28 pm GMT+8,5/27/2022,Female,21,Malay,Malacca,Universiti Malaysia Kelantan (UMK),1.5,TikTok,4.6,0,0
2022/05/27 9:49:55 pm GMT+8,5/27/2022,Male,22,Chinese,Johor,Universiti Malaysia Pahang (UMP),1.5,Messenger,3.8,0,0
2022/05/27 9:56:01 pm GMT+8,5/27/2022,Female,21,Chinese,Perak,Universiti Malaysia Pahang (UMP),8,WhatsApp,4.3,0,1
2022/05/27 9:58:00 pm GMT+8,5/27/2022,Male,21,Chinese,Johor,Universiti Malaysia Pahang (UMP),2,TikTok,4.6,0,0
2022/05/28 10:02:06 pm GMT+8,5/28/2022,Female,20,Malay,Pahang,Universiti Malaya (UM),2,TikTok,4.6,0,0
2022/05/28 10:20:16 pm GMT+8,5/28/2022,Female,21,Malay,Malacca,Universiti Teknologi MARA (UiTM),6,YouTube,4.2,7,78
2022/05/28 10:20:54 pm GMT+8,5/28/2022,Male,21,Chinese,Penang,Universiti Malaysia Pahang (UMP),13,YouTube,4.2,0,0
